job_title,seniority_level,status,location,post_date,industry,ownership,company_size,revenue,salary_clean,avg_salary_usd,skills
data scientist,senior,hybrid,"Grapevine, TX . Hybrid",17 days ago,Retail,Public,NA,NA,100472 - 200938,113071.18879999999,"['spark', 'r', 'python', 'scala', 'machine learning', 'tensorflow']"
data scientist,lead,hybrid,"Fort Worth, TX . Hybrid",15 days ago,Manufacturing,Public,"155,030","155,030",118733,133622.1182,"['spark', 'r', 'python', 'sql', 'machine learning']"
data scientist,senior,on-site,"Austin, TX . Toronto, Ontario, Canada . Kirkland, WA . Orlando, FL . Edmonton, Alberta, Canada + 1 More",a month ago,Technology,Public,"25,930","25,930",94987 - 159559,106898.3698,"['aws', 'git', 'python', 'docker', 'sql', 'machine learning', 'gcp', 'kubernetes', 'deep learning']"
data scientist,senior,hybrid,"Chicago, IL . Scottsdale, AZ . Austin, TX . Hybrid",8 days ago,Technology,Public,"34,690","34,690",112797 - 194402,126941.7438,"['sql', 'r', 'python']"
data scientist,NA,on-site,NA,3 days ago,Finance,Private,"1,800","1,800",114172 - 228337,128489.1688,[]
data scientist,lead,NA,"New York, NY",3 months ago,Technology,Private,150,150,196371 - 251170,220995.9234,"['scikit-learn', 'python', 'scala', 'sql', 'machine learning', 'tensorflow']"
data scientist,junior,NA,"Berkeley, CA",15 days ago,Education,NA,"17,471","17,471",51330 - 70144,57766.782,[]
machine learning engineer,senior,on-site,"Menlo Park, CA",9 days ago,Technology,Public,900,NA,121480 - 132440,136713.592,['machine learning']
data scientist,senior,remote,NA,6 days ago,Technology,Private,126,126,207331,233330.3074,[]
data scientist,senior,on-site,NA,a day ago,Technology,Public,"5,520","5,520",219201,246688.80539999998,[]
data scientist,senior,NA,"Atlanta, GA",15 days ago,Technology,Public,"103,010","103,010",96815,108955.601,"['pytorch', 'r', 'python', 'sql', 'machine learning', 'keras', 'deep learning', 'tensorflow']"
data scientist,midlevel,NA,Greater Vancouver Metropolitan Area,6 days ago,Education,NA,240,240,62697 - 89293,70559.2038,"['java', 'git', 'python']"
data scientist,senior,remote,"Minneapolis, MN . Fully Remote",8 days ago,Manufacturing,Public,"21,030","21,030",99464 - 165954,111936.7856,"['sql', 'machine learning', 'python']"
data scientist,senior,on-site,"Titusville, NJ . Titusville, New Jersey, United States",19 days ago,Healthcare,Public,"128,890","128,890",112343 - 117823,126430.8122,"['sql', 'machine learning', 'r', 'python']"
data scientist,senior,on-site,"Arlington, VA",a month ago,Technology,Private,45,45,127867 - 150700,143901.5218,"['pandas', 'powerbi', 'python', 'java', 'sql', 'machine learning', 'tableau']"
data scientist,senior,remote,NA,14 days ago,Finance,Private,300,300,134266,151102.9564,[]
data scientist,lead,NA,"Bengaluru, Karnataka, India",6 days ago,Technology,Public,"132,000","132,000",52746,59360.348399999995,"['spark', 'aws', 'r', 'python', 'machine learning', 'gcp', 'deep learning', 'hadoop', 'azure']"
data scientist,lead,on-site,"Charlotte, NC . On-site",8 days ago,Finance,Public,"257,150","257,150",126956 - 198196,142876.2824,"['aws', 'r', 'python', 'sql', 'machine learning', 'azure', 'tableau']"
data scientist,senior,remote,NA,13 days ago,Education,Private,130,130,185412 - 228338,208662.6648,[]
machine learning engineer,junior,NA,"Basel, Basel, Switzerland",19 days ago,Healthcare,Public,"93,580","93,580",80123,90170.4242,"['pytorch', 'python', 'machine learning', 'deep learning', 'tensorflow']"
data scientist,senior,on-site,"Toronto, Ontario, Canada . On-site",8 days ago,Finance,Public,"44,010",NA,72611,81716.4194,"['pytorch', 'spark', 'git', 'r', 'python', 'sql', 'machine learning', 'tensorflow']"
data scientist,senior,on-site,"Findlay, OH . Denver, CO . San Antonio, TX",8 days ago,Energy,Public,"11,610","11,610",95265 - 164221,107211.231,"['pytorch', 'scikit-learn', 'python', 'machine learning', 'deep learning', 'tensorflow']"
data scientist,senior,on-site,"Toronto, Ontario, Canada",6 days ago,Technology,Private,300,300,85044,95708.51759999999,"['airflow', 'spark', 'machine learning', 'python']"
data scientist,senior,NA,"San Francisco, CA",3 months ago,Technology,Private,100,100,146141 - 210074,164467.0814,[]
data scientist,lead,NA,"Bengaluru, Karnataka, India",a month ago,Technology,Public,"222,070","222,070",10049,11309.1446,"['deep learning', 'machine learning']"
data scientist,NA,remote,"Remote, US . Fully Remote",3 months ago,Technology,Private,340,340,91335 - 109601,102788.409,[]
data scientist,senior,NA,"Huntsville, AL . Merritt Island, FL . Seattle, WA",15 days ago,Technology,Private,"3,780","3,780",125171 - 175240,140867.4434,"['aws', 'git', 'r', 'python', 'docker', 'machine learning', 'kubernetes', 'deep learning', 'azure']"
data scientist,senior,NA,"San Francisco, CA",8 days ago,Education,Private,807,807,150707,169605.6578,"['sql', 'machine learning', 'r', 'python']"
data scientist,senior,on-site,"Laurel, MD",a month ago,Technology,NA,"8,010","8,010",210071,236413.90339999998,['python']
machine learning engineer,senior,NA,"Amsterdam, North Holland, Netherlands",a month ago,Technology,Public,"26,950","26,950",72515,81608.381,"['sql', 'machine learning', 'python']"
data scientist,lead,on-site,"Richmond, VA . On-site",7 days ago,Technology,Public,"4,820","4,820",112288,126368.91519999999,"['machine learning', 'python']"
data scientist,lead,hybrid,"Seattle, WA . Hybrid",25 days ago,Retail,Public,"157,200",NA,132437,149044.5998,"['r', 'python', 'sql', 'machine learning', 'tableau']"
data scientist,senior,hybrid,"Manchester, England, United Kingdom . Hybrid",15 days ago,Technology,Public,"1,320",NA,45669 - 63936,51395.8926,"['spark', 'python', 'airflow', 'sql', 'machine learning']"
data scientist,senior,on-site,"Richmond, VA . On-site",7 days ago,Technology,Public,"4,780","4,780",112291,126372.2914,"['machine learning', 'python']"
NA,midlevel,NA,"Barcelona, Catalonia, Spain",7 days ago,Technology,NA,900,900,28068,31587.727199999998,"['git', 'r', 'python', 'linux', 'bash']"
data scientist,senior,on-site,"Toronto, Ontario, Canada",3 days ago,Technology,Private,"26,070","26,070",83298 - 124946,93743.5692,"['pandas', 'numpy', 'scikit-learn', 'python', 'sql', 'azure', 'tableau']"
data scientist,senior,hybrid,"Foster City, CA . Hybrid",3 years ago,Technology,Private,"1,790","1,790",198201 - 269440,223055.4054,[]
data scientist,senior,hybrid,"San Francisco, CA, US . Seattle, WA, US . Hybrid",19 days ago,Technology,Public,"5,260","5,260",260211,292841.4594,[]
data scientist,lead,NA,United States,a month ago,Technology,Private,210,210,114355,128695.117,"['pytorch', 'spark', 'scikit-learn', 'python', 'neural network', 'machine learning', 'deep learning', 'tensorflow']"
data scientist,midlevel,on-site,"Cambridge, MA",15 days ago,Technology,Public,"9,070",NA,144311 - 198198,162407.5994,"['r', 'python', 'sql', 'machine learning', 'tableau']"
data scientist,senior,NA,"Atlanta, GA",20 days ago,Technology,Public,"9,030","9,030",105035,118206.389,"['sql', 'machine learning', 'tableau', 'python']"
data scientist,senior,remote,United States . Fully Remote,2 months ago,Technology,Private,60,60,155272 - 164406,174743.1088,"['sql', 'machine learning', 'tableau', 'python']"
data scientist,senior,on-site,"San Diego, CA",9 days ago,Technology,Public,"41,020","41,020",140661,158299.8894,"['pytorch', 'python', 'docker', 'sql', 'neural network', 'kubernetes', 'tensorflow']"
data scientist,senior,hybrid,"Toronto, Ontario, Canada . Montreal, Quebec, Canada . Hybrid",8 days ago,Finance,Public,"26,040",NA,73739,82985.8706,"['machine learning', 'r', 'python']"
data scientist,senior,hybrid,"New York, NY . Hybrid",6 days ago,Technology,Public,"5,050","5,050",135178 - 168971,152129.3212,[]
data scientist,senior,on-site,NA,14 days ago,Technology,Private,990,990,228515,257170.781,[]
data scientist,senior,NA,"New York, NY",8 days ago,Finance,Public,"2,290",NA,137007 - 159840,154187.6778,"['aws', 'git', 'python', 'sql', 'machine learning']"
machine learning engineer,senior,NA,"Seattle, WA",15 days ago,Technology,Private,"3,810","3,810",162184 - 227055,182521.8736,"['pandas', 'pytorch', 'aws', 'python', 'docker', 'machine learning', 'kubernetes', 'deep learning', 'azure', 'tensorflow']"
data scientist,senior,hybrid,"McLean, VA . Hybrid",8 days ago,Technology,Public,"24,040",NA,92833 - 172402,104474.2582,"['java', 'machine learning', 'r', 'python']"
data scientist,lead,on-site,"Seattle, Washington, United States . On-site",12 days ago,Technology,Private,46,46,210070 - 228336,236412.778,[]
data scientist,senior,NA,"Warsaw, Mazowieckie, Poland . Prague, Prague, Czechia . Kyiv, Kyiv City, Ukraine",3 months ago,Technology,Private,330,330,67594 - 86774,76070.2876,"['pandas', 'pytorch', 'r', 'python', 'machine learning', 'tensorflow']"
data scientist,senior,on-site,NA,3 months ago,Technology,Private,5,5,123307 - 191806,138769.6978,[]
data scientist,senior,on-site,"San Francisco, California, United States . On-site",20 days ago,Finance,Private,950,950,219199 - 273999,246686.5546,[]
data scientist,NA,NA,"Bangalore, Karnataka",5 months ago,Technology,Private,750,750,41302,46481.2708,[]
data scientist,senior,hybrid,"Toronto, Ontario, Canada . Hybrid",7 days ago,Technology,Public,"23,860","23,860",75128 - 79194,84549.0512,"['sql', 'tableau', 'python']"
data scientist,senior,on-site,"Rock Island, IL . On-site",3 months ago,Technology,Public,"28,840",NA,77667 - 129442,87406.4418,"['scikit-learn', 'r', 'python', 'java', 'machine learning']"
data scientist,midlevel,NA,"Cambridge, England, United Kingdom",8 days ago,Education,NA,"10,933","10,933",31175,35084.345,[]
data scientist,midlevel,remote,"Oregon, United States . Fully Remote",4 days ago,Manufacturing,Public,"99,620","99,620",19420 - 98368,21855.268,"['pandas', 'powerbi', 'r', 'python', 'sql', 'neural network', 'machine learning', 'deep learning', 'tableau']"
