"job_title","seniority_level","status","location","post_date","industry","ownership","company_size","revenue","salary","skills","salary_clean","salary_min","salary_max","salary_num","salary_usd"
"data scientist","senior","hybrid","Grapevine, TX . Hybrid","17 days ago","Retail","Public",NA,NA,"100,472 - 200,938","['spark', 'r', 'python', 'scala', 'machine learning', 'tensorflow']","100472 - 200938",100472,NA,100472,113071.1888
"data scientist","lead","hybrid","Fort Worth, TX . Hybrid","15 days ago","Manufacturing","Public","155,030","155,030","118,733","['spark', 'r', 'python', 'sql', 'machine learning']","118733",118733,NA,118733,133622.1182
"data scientist","senior","on-site","Austin, TX . Toronto, Ontario, Canada . Kirkland, WA . Orlando, FL . Edmonton, Alberta, Canada + 1 More","a month ago","Technology","Public","25,930","25,930","94,987 - 159,559","['aws', 'git', 'python', 'docker', 'sql', 'machine learning', 'gcp', 'kubernetes', 'deep learning']","94987 - 159559",94987,NA,94987,106898.3698
"data scientist","senior","hybrid","Chicago, IL . Scottsdale, AZ . Austin, TX . Hybrid","8 days ago","Technology","Public","34,690","34,690","112,797 - 194,402","['sql', 'r', 'python']","112797 - 194402",112797,NA,112797,126941.7438
"data scientist",NA,"on-site",NA,"3 days ago","Finance","Private","1,800","1,800","114,172 - 228,337","[]","114172 - 228337",114172,NA,114172,128489.1688
"data scientist","lead",NA,"New York, NY","3 months ago","Technology","Private","150","150","196,371 - 251,170","['scikit-learn', 'python', 'scala', 'sql', 'machine learning', 'tensorflow']","196371 - 251170",196371,NA,196371,220995.9234
"data scientist","junior",NA,"Berkeley, CA","15 days ago","Education",NA,"17,471","17,471","51,330 - 70,144","[]","51330 - 70144",51330,NA,51330,57766.782
"machine learning engineer","senior","on-site","Menlo Park, CA","9 days ago","Technology","Public","900",NA,"121,480 - 132,440","['machine learning']","121480 - 132440",121480,NA,121480,136713.592
"data scientist","senior","remote",NA,"6 days ago","Technology","Private","126","126","207,331","[]","207331",207331,NA,207331,233330.3074
"data scientist","senior","on-site",NA,"a day ago","Technology","Public","5,520","5,520","219,201","[]","219201",219201,NA,219201,246688.8054
"data scientist","senior",NA,"Atlanta, GA","15 days ago","Technology","Public","103,010","103,010","96,815","['pytorch', 'r', 'python', 'sql', 'machine learning', 'keras', 'deep learning', 'tensorflow']","96815",96815,NA,96815,108955.601
"data scientist","midlevel",NA,"Greater Vancouver Metropolitan Area","6 days ago","Education",NA,"240","240","62,697 - 89,293","['java', 'git', 'python']","62697 - 89293",62697,NA,62697,70559.2038
"data scientist","senior","remote","Minneapolis, MN . Fully Remote","8 days ago","Manufacturing","Public","21,030","21,030","99,464 - 165,954","['sql', 'machine learning', 'python']","99464 - 165954",99464,NA,99464,111936.7856
"data scientist","senior","on-site","Titusville, NJ . Titusville, New Jersey, United States","19 days ago","Healthcare","Public","128,890","128,890","112,343 - 117,823","['sql', 'machine learning', 'r', 'python']","112343 - 117823",112343,NA,112343,126430.8122
"data scientist","senior","on-site","Arlington, VA","a month ago","Technology","Private","45","45","127,867 - 150,700","['pandas', 'powerbi', 'python', 'java', 'sql', 'machine learning', 'tableau']","127867 - 150700",127867,NA,127867,143901.5218
"data scientist","senior","remote",NA,"14 days ago","Finance","Private","300","300","134,266","[]","134266",134266,NA,134266,151102.9564
"data scientist","lead",NA,"Bengaluru, Karnataka, India","6 days ago","Technology","Public","132,000","132,000","52,746","['spark', 'aws', 'r', 'python', 'machine learning', 'gcp', 'deep learning', 'hadoop', 'azure']","52746",52746,NA,52746,59360.3484
"data scientist","lead","on-site","Charlotte, NC . On-site","8 days ago","Finance","Public","257,150","257,150","126,956 - 198,196","['aws', 'r', 'python', 'sql', 'machine learning', 'azure', 'tableau']","126956 - 198196",126956,NA,126956,142876.2824
"data scientist","senior","remote",NA,"13 days ago","Education","Private","130","130","185,412 - 228,338","[]","185412 - 228338",185412,NA,185412,208662.6648
"machine learning engineer","junior",NA,"Basel, Basel, Switzerland","19 days ago","Healthcare","Public","93,580","93,580","80,123","['pytorch', 'python', 'machine learning', 'deep learning', 'tensorflow']","80123",80123,NA,80123,90170.4242
"data scientist","senior","on-site","Toronto, Ontario, Canada . On-site","8 days ago","Finance","Public","44,010",NA,"72,611","['pytorch', 'spark', 'git', 'r', 'python', 'sql', 'machine learning', 'tensorflow']","72611",72611,NA,72611,81716.4194
"data scientist","senior","on-site","Findlay, OH . Denver, CO . San Antonio, TX","8 days ago","Energy","Public","11,610","11,610","95,265 - 164,221","['pytorch', 'scikit-learn', 'python', 'machine learning', 'deep learning', 'tensorflow']","95265 - 164221",95265,NA,95265,107211.231
"data scientist","senior","on-site","Toronto, Ontario, Canada","6 days ago","Technology","Private","300","300","85,044","['airflow', 'spark', 'machine learning', 'python']","85044",85044,NA,85044,95708.5176
"data scientist","senior",NA,"San Francisco, CA","3 months ago","Technology","Private","100","100","146,141 - 210,074","[]","146141 - 210074",146141,NA,146141,164467.0814
"data scientist","lead",NA,"Bengaluru, Karnataka, India","a month ago","Technology","Public","222,070","222,070","10,049","['deep learning', 'machine learning']","10049",10049,NA,10049,11309.1446
"data scientist",NA,"remote","Remote, US . Fully Remote","3 months ago","Technology","Private","340","340","91,335 - 109,601","[]","91335 - 109601",91335,NA,91335,102788.409
"data scientist","senior",NA,"Huntsville, AL . Merritt Island, FL . Seattle, WA","15 days ago","Technology","Private","3,780","3,780","125,171 - 175,240","['aws', 'git', 'r', 'python', 'docker', 'machine learning', 'kubernetes', 'deep learning', 'azure']","125171 - 175240",125171,NA,125171,140867.4434
"data scientist","senior",NA,"San Francisco, CA","8 days ago","Education","Private","807","807","150,707","['sql', 'machine learning', 'r', 'python']","150707",150707,NA,150707,169605.6578
"data scientist","senior","on-site","Laurel, MD","a month ago","Technology",NA,"8,010","8,010","210,071","['python']","210071",210071,NA,210071,236413.9034
"machine learning engineer","senior",NA,"Amsterdam, North Holland, Netherlands","a month ago","Technology","Public","26,950","26,950","72,515","['sql', 'machine learning', 'python']","72515",72515,NA,72515,81608.381
"data scientist","lead","on-site","Richmond, VA . On-site","7 days ago","Technology","Public","4,820","4,820","112,288","['machine learning', 'python']","112288",112288,NA,112288,126368.9152
"data scientist","lead","hybrid","Seattle, WA . Hybrid","25 days ago","Retail","Public","157,200",NA,"132,437","['r', 'python', 'sql', 'machine learning', 'tableau']","132437",132437,NA,132437,149044.5998
"data scientist","senior","hybrid","Manchester, England, United Kingdom . Hybrid","15 days ago","Technology","Public","1,320",NA,"45,669 - 63,936","['spark', 'python', 'airflow', 'sql', 'machine learning']","45669 - 63936",45669,NA,45669,51395.8926
"data scientist","senior","on-site","Richmond, VA . On-site","7 days ago","Technology","Public","4,780","4,780","112,291","['machine learning', 'python']","112291",112291,NA,112291,126372.2914
